Jahr;Import/Export;Maßeinheit;WZ;Kennzahl;Polymerart/Packmittel;Warenverzeichnis;Warennummer;Monat;relative Veränderung zum Vorjahr/Vorjahresmonat/Vorjahresquartal;Jahr-Monat
2019,0;Einfuhr;t;2222;1324691,3;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;6,236952866475787;2019-TOTAL
2020,0;Einfuhr;t;2222;1198237,9;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;-9,545876839381384;2020-TOTAL
2021,0;Einfuhr;t;2222;1239037,1;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;3,404933193984272;2021-TOTAL
2022,0;Einfuhr;t;2222;1539769,2;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;24,271436262885103;2022-TOTAL
2023,0;Einfuhr;t;2222;1084352,4;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;-29,57695218218419;2023-TOTAL
2024,0;Einfuhr;t;2222;1107704,8;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;2,1535803305272383;2024-TOTAL
2025,0;Einfuhr;t;2222;1198941,7;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;TOTAL;8,236571693108118;2025-TOTAL
2015,0;Ausfuhr;Anzahl;2222;984096820,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;;2015-Q1
2016,0;Ausfuhr;Anzahl;2222;1035978373,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;5,271996814297197;2016-Q1
2017,0;Ausfuhr;Anzahl;2222;1018768086,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;-1,6612592934891368;2017-Q1
2018,0;Ausfuhr;Anzahl;2222;962331891,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;-5,539650856318634;2018-Q1
2019,0;Ausfuhr;Anzahl;2222;1066625793,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;10,83762296307398;2019-Q1
2020,0;Ausfuhr;Anzahl;2222;934681852,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;-12,370218483925221;2020-Q1
2021,0;Ausfuhr;Anzahl;2222;1014871377,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;8,579339036958222;2021-Q1
2022,0;Ausfuhr;Anzahl;2222;948426029,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;-6,547169375927719;2022-Q1
2023,0;Ausfuhr;Anzahl;2222;952656192,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;0,4460192857064671;2023-Q1
2024,0;Ausfuhr;Anzahl;2222;928142996,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;-2,5731419378629328;2024-Q1
2025,0;Ausfuhr;Anzahl;2222;971600284,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;4,682175934881472;2025-Q1
2026,0;Ausfuhr;Anzahl;2222;940370060,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;-3,214307829494212;2026-Q1
2015,0;Ausfuhr;Tsd. EUR;2222;715321,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;;2015-Q1
2016,0;Ausfuhr;Tsd. EUR;2222;764287,0;Gesamt_Packmittel;Gesamt_Packmittel;Gesamt_Packmittel;Q1;6,845318395517541;2016-Q1
